state,harrisVotes,trumpVotes,totalVotes,demMinusRepMargin,twoPartyDemMinusRepMargin,harrisPercent,trumpPercent
AL,772412,1462616,2265090,-30.471372,-30.881224,34.10072,64.572092
AK,140026,184458,338177,-13.138682,-13.693125,41.406128,54.544809
AZ,1582860,1770242,3390161,-5.52723,-5.588318,46.689818,52.217048
AR,396905,759241,1182676,-30.636962,-31.339986,33.55991,64.196872
CA,9276179,6081697,15865475,20.134802,20.800285,58.467704,38.332902
CO,1728159,1377441,3192745,10.984842,11.293083,54.127686,43.142844
CT,992053,736918,1759010,14.504466,14.756465,56.398372,41.893906
DE,289758,214351,512912,14.701742,14.958471,56.492732,41.790989
DC,294185,21076,325869,83.809445,86.629491,90.277075,6.46763
FL,4683038,6110125,10893752,-13.10005,-13.222139,42.988293,56.088343
GA,2548017,2663117,5250905,-2.192003,-2.208732,48.525292,50.717295
HI,313044,193661,516701,23.104852,23.560652,60.585135,37.480284
ID,274972,605246,905057,-36.492066,-37.521841,30.381733,66.873799
IL,3062863,2449079,5633310,10.895619,11.135531,54.370574,43.474955
IN,1163603,1720347,2936677,-18.958299,-19.304912,39.623118,58.581417
IA,707278,927019,1663506,-13.209511,-13.445598,42.51731,55.72682
KS,544853,758802,1327591,-16.115581,-16.411474,41.040727,57.156308
KY,704043,1337494,2074530,-30.534675,-31.028142,33.93747,64.472145
LA,766870,1208505,2006975,-22.005008,-22.357021,38.210242,60.215249
ME,435652,377977,831375,6.937303,7.088612,52.401383,45.464081
MD,1902577,1035550,3038334,28.536264,29.509514,62.619087,34.082823
MA,2126518,1251303,3473668,25.195701,25.910639,61.218228,36.022527
MI,2736533,2816636,5664186,-1.414201,-1.442474,48.312909,49.72711
MN,1656979,1519032,3253920,4.23941,4.343404,50.922549,46.683139
MS,466668,747744,1228008,-22.888776,-23.145028,38.002033,60.890809
MO,1200599,1751986,2995327,-18.408241,-18.674721,40.082402,58.490642
MT,231906,352079,602990,-19.929518,-20.578097,38.459344,58.388862
NE,369995,564816,952182,-20.460479,-20.840683,38.857592,59.318072
NV,705197,751205,1484840,-3.098516,-3.159018,47.493131,50.591646
NH,418488,395523,826189,2.77963,2.821215,50.652817,47.873186
NJ,2220713,1968215,4272725,5.909531,6.027747,51.974162,46.064631
NM,478802,423391,923403,6.000739,6.141812,51.8519,45.851161
NY,4619195,3578899,8262495,12.590579,12.689486,55.905571,43.314991
NC,2715375,2898423,5699141,-3.211852,-3.26068,47.645338,50.857191
ND,112327,246505,368155,-36.446062,-37.392986,30.51079,66.956852
OH,2533699,3180116,5767788,-11.207364,-11.313229,43.928435,55.135799
OK,499599,1036213,1566173,-34.262754,-34.940084,31.89935,66.162103
OR,1240600,919480,2244493,14.307017,14.866116,55.273062,40.966044
PA,3423042,3543308,7058732,-1.70379,-1.726385,48.493724,50.197514
RI,285156,214406,513386,13.781054,14.162406,55.544171,41.763118
SC,1028452,1483747,2548140,-17.867739,-18.123365,40.360891,58.22863
SD,146859,272081,428922,-29.194585,-29.890199,34.239092,63.433678
TN,1056265,1966865,3063942,-29.719884,-30.1211,34.474053,64.193937
TX,4835250,6393597,11388674,-13.683305,-13.878068,42.456655,56.13996
UT,562566,883818,1488494,-21.582351,-22.210699,37.794308,59.376659
VT,235791,119395,369422,31.507598,32.770436,63.827005,32.319407
VA,2333778,2074097,4503288,5.766476,5.891297,51.823867,46.057392
WA,2245849,1530923,3924243,18.218189,18.929551,57.230121,39.011932
WV,214309,533556,762582,-41.863957,-42.687785,28.103076,69.967033
WI,1668229,1697626,3422918,-0.858829,-0.873389,48.737042,49.595871
WY,69527,192633,269048,-45.756148,-46.958346,25.841857,71.598005
